epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94915,1.08058,2.7326,1.47275,0.56601,0.85,0.8784,0.63415,1.65554,1.03507,1.38183,0,0,0
2,4.70349,1.1854,2.79185,1.48673,0.55718,0.85,0.88647,0.63455,1.67334,1.02632,1.38467,1.17822e-06,1.17822e-06,1.17822e-06
3,5.30514,1.09671,2.50871,1.21965,0.56122,0.85,0.8506,0.61538,1.68013,1.01232,1.38614,2.33288e-06,2.33288e-06,2.33288e-06
4,5.81769,1.18983,2.75692,1.49669,0.55082,0.85,0.85609,0.63652,1.66741,0.98926,1.36734,3.46397e-06,3.46397e-06,3.46397e-06
5,6.33389,1.20408,2.44885,1.61721,0.54851,0.85,0.85801,0.63687,1.6684,1.00948,1.36505,4.5715e-06,4.5715e-06,4.5715e-06
6,7.03073,0.83312,1.92543,1.14614,0.53673,0.85,0.85799,0.62863,1.68201,1.01253,1.37302,5.65548e-06,5.65548e-06,5.65548e-06
7,7.73675,1.40842,2.77913,1.77329,0.5335,0.86261,0.85848,0.6286,1.67584,1.01074,1.37139,6.71588e-06,6.71588e-06,6.71588e-06
8,8.36496,1.19329,3.85306,1.65761,0.55568,0.86667,0.8626,0.63201,1.68306,1.02526,1.36804,7.75273e-06,7.75273e-06,7.75273e-06
9,9.02201,0.90168,2.95575,1.27882,0.55342,0.86667,0.85987,0.62969,1.67443,1.02785,1.36181,8.76602e-06,8.76602e-06,8.76602e-06
10,9.65253,1.04452,2.17947,1.27281,0.53018,0.86667,0.89475,0.63414,1.67523,1.03359,1.36287,9.75574e-06,9.75574e-06,9.75574e-06
11,10.3089,1.19246,2.26743,1.56958,0.62888,0.9454,0.90931,0.64352,1.66866,1.03752,1.3578,1.07219e-05,1.07219e-05,1.07219e-05
12,10.9501,1.00685,2.28489,1.37773,0.64018,0.94427,0.90913,0.64449,1.67407,1.04815,1.36083,1.16645e-05,1.16645e-05,1.16645e-05
13,11.6018,1.36302,3.2493,1.80004,0.62128,0.95,0.90873,0.64727,1.68346,1.06015,1.36168,1.25835e-05,1.25835e-05,1.25835e-05
14,12.2506,0.78816,2.38111,1.2034,0.62543,0.95,0.91043,0.64725,1.69304,1.07275,1.36774,1.3479e-05,1.3479e-05,1.3479e-05
15,12.9033,1.28775,3.04519,1.52905,0.63575,0.78333,0.90942,0.64716,1.68989,1.07673,1.36742,1.43509e-05,1.43509e-05,1.43509e-05
16,13.5687,1.21085,2.07812,1.51572,0.63746,0.78333,0.91059,0.63535,1.66871,1.0814,1.35804,1.51993e-05,1.51993e-05,1.51993e-05
17,14.2095,0.8104,1.55942,1.17778,0.64418,0.78333,0.91062,0.62655,1.6781,1.09039,1.36318,1.60241e-05,1.60241e-05,1.60241e-05
18,14.8044,0.62131,1.33543,0.99777,0.64418,0.78333,0.91062,0.62655,1.6781,1.09039,1.36318,1.68253e-05,1.68253e-05,1.68253e-05
19,15.4429,0.68593,1.53686,1.03182,0.83665,0.65,0.87223,0.6223,1.69257,1.12443,1.37589,1.7603e-05,1.7603e-05,1.7603e-05
